instituto ,status,fecha,valor
CIMAT,Ingreso CIMAT,2016,71
CIMAT,Ingreso CIMAT,2017,72
CIMAT,Ingreso CIMAT,2018,74
CIMAT,Ingreso CIMAT,2019,75
CIMAT,Ingreso CIMAT,2020,71
CIMAT,Ingreso CIMAT,2021,65
CIMAT,Ingreso CIMAT,2022,52
CIMAT,Egreso CIMAT,2016,18
CIMAT,Egreso CIMAT,2017,15
CIMAT,Egreso CIMAT,2018,23
CIMAT,Egreso CIMAT,2019,10
CIMAT,Egreso CIMAT,2020,11
CIMAT,Egreso CIMAT,2021,11
CIMAT,Egreso CIMAT,2022,11
CCM,Ingreso CCM,2016,8
CCM,Ingreso CCM,2017,2
CCM,Ingreso CCM,2018,2
CCM,Ingreso CCM,2019,3
CCM,Ingreso CCM,2020,11
CCM,Ingreso CCM,2021,5
CCM,Ingreso CCM,2022,10
CCM,Egreso CCM,2016,8
CCM,Egreso CCM,2017,3
CCM,Egreso CCM,2018,5
CCM,Egreso CCM,2019,3
CCM,Egreso CCM,2020,3
CCM,Egreso CCM,2021,6
CCM,Egreso CCM,2022,2