instituto,status,fecha,valor
CIMAT,Egreso CIMAT,2016,61
CIMAT,Egreso CIMAT,2017,34
CIMAT,Egreso CIMAT,2018,55
CIMAT,Egreso CIMAT,2019,56
CIMAT,Egreso CIMAT,2020,55
CIMAT,Egreso CIMAT,2021,57
CIMAT,Egreso CIMAT,2022,62
CIMAT,Ingreso CIMAT,2016,123
CIMAT,Ingreso CIMAT,2017,138
CIMAT,Ingreso CIMAT,2018,172
CIMAT,Ingreso CIMAT,2019,165
CIMAT,Ingreso CIMAT,2020,175
CIMAT,Ingreso CIMAT,2021,233
CIMAT,Ingreso CIMAT,2022,235
CCM,Egreso CCM,2016,15
CCM,Egreso CCM,2017,8
CCM,Egreso CCM,2018,7
CCM,Egreso CCM,2019,10
CCM,Egreso CCM,2020,10
CCM,Egreso CCM,2021,9
CCM,Egreso CCM,2022,9
CCM,Ingreso CCM,2016,13
CCM,Ingreso CCM,2017,3
CCM,Ingreso CCM,2018,9
CCM,Ingreso CCM,2019,7
CCM,Ingreso CCM,2020,8
CCM,Ingreso CCM,2021,8
CCM,Ingreso CCM,2022,8